,名前,誕生日,年齢,ひとことメモ
0,シャオシャオ（暁暁）,2021年6月23日,3歳,双子の男の子、やんちゃな性格、現在の契約では2026年2月に返還予定
1,レイレイ（蕾蕾）,2021年6月23日,3歳,双子の女の子、マイペースな性格、現在の契約では2026年2月に返還予定
0,良浜（らうひん）,2000年9月6日,24歳,日本で生まれて日本で子どもを生んだ唯一のパンダ、2025年6月28日の返還が決定
1,結浜（ゆいひん）,2016年9月18日,8歳,頭のてっぺんにある「とんがり」がチャームポイント、2025年6月28日の返還が決定
2,彩浜（さいひん）,2018年8月14日,6歳,パーク最小の75gで生まれ元気に成長、あだ名は「社長」、2025年6月28日の返還が決定
3,楓浜（ふうひん）,2020年11月22日,4歳,「いい夫婦の日」に生まれ元気に成長、アイパッチの形が特徴的、2025年6月28日の返還が決定
